source,expectation_type,column,table,severity,test_category,success,result_type,rule_kind,element_count,missing_count,missing_percent,unexpected_count,unexpected_percent,unexpected_percent_total,observed_value,expectation_kwargs,run_date,environment_name
ADDRESSES,expect_column_values_to_be_unique,ADDRESS_ID,ADDRESSES,critical,DQ,True,success,single_column,25,0,0.0,0,0.0,0.0,,"{""column"": ""ADDRESS_ID""}",2026-09-12T14:45:10.730457+00:00,demo_weather
ADDRESSES,expect_column_values_to_not_be_null,CUSTOMER_ID,ADDRESSES,critical,DQ,True,success,single_column,25,,,0,0.0,,,"{""column"": ""CUSTOMER_ID""}",2026-09-12T14:45:10.730457+00:00,demo_weather
ADDRESSES,expect_column_values_to_not_be_null,STREET,ADDRESSES,warning,DQ,False,failure,single_column,25,,,1,4.0,,,"{""column"": ""STREET""}",2026-09-12T14:45:10.730457+00:00,demo_weather
ADDRESSES,expect_column_value_lengths_to_equal,ZIP_CODE,ADDRESSES,critical,DQ,False,failure,single_column,25,0,0.0,1,4.0,4.0,,"{""column"": ""ZIP_CODE"", ""value"": 5.0}",2026-09-12T14:45:10.730457+00:00,demo_weather
ADDRESSES,expect_column_values_to_match_regex,ZIP_CODE,ADDRESSES,warning,DQ,False,failure,single_column,25,0,0.0,1,4.0,4.0,,"{""column"": ""ZIP_CODE"", ""regex"": ""^\\d{5}$""}",2026-09-12T14:45:10.730457+00:00,demo_weather
ADDRESSES,expect_column_values_to_be_in_set,STATE_CD,ADDRESSES,warning,DQ,True,success,single_column,25,0,0.0,0,0.0,0.0,,"{""column"": ""STATE_CD"", ""value_set"": [""CA"", ""NY"", ""TX"", ""WA"", ""CO"", ""OR"", ""AZ"", ""IL"", ""MA"", ""NC"", ""MN"", ""GA"", ""UT"", ""VA"", ""MI""]}",2026-09-12T14:45:10.730457+00:00,demo_weather
ADDRESSES,expect_column_values_to_be_in_set,COUNTRY_CD,ADDRESSES,warning,DQ,False,failure,single_column,25,0,0.0,1,4.0,4.0,,"{""column"": ""COUNTRY_CD"", ""value_set"": [""US""]}",2026-09-12T14:45:10.730457+00:00,demo_weather
ADDRESSES,expect_column_pair_values_to_be_equal,STATE_CD / BILLING_STATE_CD,ADDRESSES,warning,DQ,False,failure,pair_comparison,25,0,0.0,1,4.0,4.0,,"{""column_A"": ""STATE_CD"", ""column_B"": ""BILLING_STATE_CD""}",2026-09-12T14:45:10.730457+00:00,demo_weather
ADDRESSES,expect_table_row_count_to_be_between,ADDRESS_ID,ADDRESSES,info,DQ,True,success,aggregate,,,,,,,25,"{""catch_exceptions"": true, ""max_value"": 100, ""min_value"": 10}",2026-09-12T14:45:10.730457+00:00,demo_weather
