source,expectation_type,column,table,severity,test_category,success,result_type,rule_kind,element_count,missing_count,missing_percent,unexpected_count,unexpected_percent,unexpected_percent_total,observed_value,expectation_kwargs,run_date,environment_name
PHONES,expect_column_values_to_be_unique,PHONE_ID,PHONES,critical,DQ,False,failure,single_column,36,0,0.0,2,5.555555555555555,5.555555555555555,,"{""column"": ""PHONE_ID""}",2026-09-12T14:45:12.824049+00:00,demo_weather
PHONES,expect_column_values_to_not_be_null,CUSTOMER_ID,PHONES,critical,DQ,True,success,single_column,36,,,0,0.0,,,"{""column"": ""CUSTOMER_ID""}",2026-09-12T14:45:12.824049+00:00,demo_weather
PHONES,expect_column_values_to_be_in_set,PHONE_TYPE,PHONES,warning,DQ,False,failure,single_column,36,0,0.0,1,2.7777777777777777,2.7777777777777777,,"{""column"": ""PHONE_TYPE"", ""value_set"": [""MOBILE"", ""HOME"", ""WORK""]}",2026-09-12T14:45:12.824049+00:00,demo_weather
PHONES,expect_column_values_to_match_regex,PHONE_NUMBER,PHONES,warning,DQ,False,failure,single_column,36,0,0.0,1,2.7777777777777777,2.7777777777777777,,"{""column"": ""PHONE_NUMBER"", ""regex"": ""^\\d{3}-\\d{3}-\\d{4}$""}",2026-09-12T14:45:12.824049+00:00,demo_weather
PHONES,expect_compound_columns_to_be_unique,"CUSTOMER_ID, PHONE_TYPE",PHONES,info,DQ,True,success,compound_key,36,0,0.0,0,0.0,0.0,,"{""column_list"": [""CUSTOMER_ID"", ""PHONE_TYPE""]}",2026-09-12T14:45:12.824049+00:00,demo_weather
PHONES,expect_table_row_count_to_be_between,PHONE_ID,PHONES,info,DQ,True,success,aggregate,,,,,,,36,"{""catch_exceptions"": true, ""max_value"": 100, ""min_value"": 10}",2026-09-12T14:45:12.824049+00:00,demo_weather
