source,expectation_type,column,table,severity,test_category,success,result_type,rule_kind,element_count,missing_count,missing_percent,unexpected_count,unexpected_percent,unexpected_percent_total,observed_value,expectation_kwargs,run_date,environment_name
STATIONS,expect_column_values_to_be_unique,STATION_ID,STATIONS,critical,DQ,False,failure,single_column,16,0,0.0,2,12.5,12.5,,"{""column"": ""STATION_ID""}",2026-09-12T14:45:14.039223+00:00,demo_weather
STATIONS,expect_column_values_to_not_be_null,CUSTOMER_ID,STATIONS,critical,DQ,True,success,single_column,16,,,0,0.0,,,"{""column"": ""CUSTOMER_ID""}",2026-09-12T14:45:14.039223+00:00,demo_weather
STATIONS,expect_column_values_to_be_in_set,MODEL_CD,STATIONS,warning,DQ,False,failure,single_column,16,0,0.0,1,6.25,6.25,,"{""column"": ""MODEL_CD"", ""value_set"": [""WX100"", ""WX200"", ""WX300""]}",2026-09-12T14:45:14.039223+00:00,demo_weather
STATIONS,expect_column_pair_values_a_to_be_greater_than_b,WARRANTY_END_DATE / WARRANTY_START_DATE,STATIONS,warning,DQ,False,failure,pair_comparison,16,0,0.0,1,6.25,6.25,,"{""column_A"": ""WARRANTY_END_DATE"", ""column_B"": ""WARRANTY_START_DATE"", ""or_equal"": false}",2026-09-12T14:45:14.039223+00:00,demo_weather
STATIONS,expect_table_row_count_to_be_between,STATION_ID,STATIONS,info,DQ,True,success,aggregate,,,,,,,16,"{""catch_exceptions"": true, ""max_value"": 50, ""min_value"": 5}",2026-09-12T14:45:14.039223+00:00,demo_weather
STATIONS,expect_column_values_to_be_dateutil_parseable,INSTALL_DATE,STATIONS,warning,DQ,True,success,single_column,16,0,0.0,0,0.0,0.0,,"{""column"": ""INSTALL_DATE""}",2026-09-12T14:45:14.039223+00:00,demo_weather
